Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,summary,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
CJNM2ESH,journalArticle,2012,"Johnson, Susan M.; Kraft, Matthew A.; Papay, John P.",How Context Matters in High-Need Schools: The Effects of Teachers’ Working Conditions on Their Professional Satisfaction and Their Students’ Achievement,Teachers College Record,,0161-4681,10.1177/016146811211401004,https://doi.org/10.1177/016146811211401004,"Background/ContextEducational policy makers have begun to recognize the challenges posed by teacher turnover. Schools and students pay a price when new teachers leave the profession after only 2 or 3 years, just when they have acquired valuable teaching experience. Persistent turnover also disrupts efforts to build a strong organizational culture and to sustain coordinated instructional programs throughout the school. Retaining effective teachers is a particular challenge for schools that serve high proportions of low-income and minority students. Although some interpret these turnover patterns as evidence of teachers? discontent with their students, recent large-scale quantitative studies provide evidence that teachers choose to leave schools with poor work environments and that these conditions are most common in schools that minority and low-income students typically attend. Thus, mounting evidence suggests that the seeming relationship between student demographics and teacher turnover is driven not by teachers? responses to their students, but by the conditions in which they must teach and their students are obliged to learn.Purpose/Objective/Research Question/Focus of StudyWe build on this body of work by further examining how working conditions predict both teachers? job satisfaction and their career plans. We use a broad conception of the context of teachers? work, paying attention not only to narrowly defined working conditions but also to the interpersonal and organizational contexts in which teachers work. We also extend Ladd's analysis describing the relationship between the work context and student achievement. Advancing our understanding of this relationship is particularly important, given the increasing emphasis legislators place on evidence of student achievement when evaluating education policy. Specifically, we ask three research questions: (1) Do the conditions of work in Massachusetts public schools affect teachers? satisfaction with their jobs and their career plans? (2) Are schools with better conditions of work more successful in raising student performance than schools with less supportive working conditions? (3) If the conditions of work are important, what elements of the work environment matter the most?Research DesignIn this article, we combine a statewide survey of school working conditions (MassTeLLS) with demographic and student achievement data from Massachusetts. We examine three primary outcomes: teacher satisfaction, teacher career intentions, and student achievement growth. From different items on the MassTeLLS, we construct a set of nine key elements that reflect the broad-based conditions in which teachers work. We fit standard regression models that describe the relationship between each outcome and both overall conditions of work and each element separately, modeling this relationship according to the properties of our outcome variables.Findings/ResultsWe found that measures of the school environment explain away much of the apparent relationship between teacher satisfaction and student demographic characteristics. The conditions in which teachers work matter a great deal to them and, ultimately, to their students. Teachers are more satisfied and plan to stay longer in schools that have a positive work context, independent of the school's student demographic characteristics. Furthermore, although a wide range of working conditions matter to teachers, the specific elements of the work environment that matter the most to teachers are not narrowly conceived working conditions such as clean and well-maintained facilities or access to modern instructional technology. Instead, it is the social conditions?the school's culture, the principal's leadership, and relationships among colleagues?that predominate in predicting teachers? job satisfaction and career plans. More important, providing a supportive context in which teachers can work appears to contribute to improved student achievement. We found that favorable conditions of work predict higher rates of student academic growth, even when we compare schools serving demographically similar groups of students.Conclusions/RecommendationsIn short, we found that the conditions of teachers? work matter a great deal. These results align with a growing body of work examining the organizational characteristics of the schools in which teachers work. Together, these studies suggest strongly that the high turnover rates of teachers in schools with substantial populations of low-income and minority students are driven largely by teachers fleeing the dysfunctional and unsupportive work environments in the schools to which low-income and minority students are most likely to be assigned. If public education is to provide effective teachers for all students, then the schools those students attend must become places that support effective teaching and learning across all classrooms.",10/1/2012,7/2/2022 18:17,7/2/2022 18:17,5/1/2022 13:22,Jan-39,,10,114,,Teachers College Record,How Context Matters in High-Need Schools,,,,,,,en,,,,,SAGE Journals,,Publisher: SAGE Publications,,/Users/nicolapoppy/Zotero/storage/5K524DSR/Johnson et al_2012_How Context Matters in High-Need Schools.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5EVD3QNV,journalArticle,2009,"Jordan, Anne; Schwartz, Eileen; McGhie-Richmond, Donna",Preparing teachers for inclusive classrooms,Teaching and Teacher Education,,0742-051X,10.1016/j.tate.2009.02.010,https://www.sciencedirect.com/science/article/pii/S0742051X09000365,"Effective teaching skills consist of high levels of student engagement based on good classroom and time management skills; the ability to scaffold learning that is adapted to students' current levels of understanding; cognitively engaging students in higher-order thinking; and encouraging and supporting success. The research reported here suggests that in elementary classrooms, effective teaching skills are effective for all students, both with and without special education needs. Drawing on a research programme extending over nearly two decades, we make the case that effective inclusionary practices, and therefore overall effective teaching, depend in part on the beliefs of teachers about the nature of disability, and about their roles and responsibilities in working with students with special education needs. Elementary classroom teachers who believe students with special needs are their responsibility tend to be more effective overall with all of their students. We provide evidence to suggest that teachers' beliefs about disability and about their responsibilities for their students with disabilities and special educational needs may be part of a broader set of attitudes and beliefs about the nature of ability and about the nature of knowledge, knowing and how learning proceeds; that is, epistemological beliefs. The implications for these findings are considerable for teacher training and development. Little is known about how skills for effective inclusion are developed, or about how changes in teachers' beliefs about disability, ability and their epistemological beliefs may be reflected in changes in their practices. The literature on these topics is examined and implications drawn for teacher preparation for inclusive classrooms.",5/1/2009,7/2/2022 18:17,7/2/2022 18:17,6/14/2022 0:02,535-542,,4,25,,Teaching and Teacher Education,,Teacher Education for Inclusive Education,,,,,,en,,,,,ScienceDirect,,,,/Users/nicolapoppy/Zotero/storage/V6DIFCV2/Jordan et al_2009_Preparing teachers for inclusive classrooms.pdf; /Users/nicolapoppy/Zotero/storage/SCW4222F/S0742051X09000365.html,,,Elementary; Inclusive schools; Mainstreaming; Special needs students; Teacher effectiveness; Teacher opinions; Teaching skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56SJHD6T,journalArticle,2011,"Jara, Carlos A.; Candelas, Francisco A.; Puente, Santiago T.; Torres, Fernando",Hands-on experiences of undergraduate students in Automatics and Robotics using a virtual and remote laboratory,Computers & Education,,0360-1315,10.1016/j.compedu.2011.07.003,https://www.sciencedirect.com/science/article/pii/S0360131511001515,"Automatics and Robotics subjects are always greatly improved when classroom teaching is supported by adequate laboratory courses and experiments following the ""learning by doing"" paradigm, which provides students a deep understanding of theoretical lessons. However, expensive equipment and limited time prevent teachers having sufficient educational platforms, and several low cost and flexible solutions have been developed to permit an effective teaching in Automatics and Robotics at a reasonable cost. Virtual and remote laboratories are inside this group of solutions as Web-based experimentation tools which have demonstrated the importance and effectiveness of hand-on experiences. This paper presents an experience teaching based on a blended-learning method using as experimentation tool a virtual and remote robotic laboratory called RobUALab, which is also described in the paper, in Automatics and Robotics subjects of the Computer Science degree at the University of Alicante. Students experiment with a set of hand-on exercises about Automatics and Robotics using RobUALab, firstly in face-to-face classes where they experiment in-situ with the real plant and, afterwards, they access to the experimentation environment in order to finish remotely their practical exercises outside the laboratory. The results obtained in the evaluation of the educational methodology proposed attest its efficiency in terms of learning degree and performance of the students.",12/1/2011,7/2/2022 18:17,7/2/2022 18:17,6/14/2022 2:16,2451-2461,,4,57,,Computers & Education,,,,,,,,en,,,,,ScienceDirect,,,,/Users/nicolapoppy/Zotero/storage/DPLILGDZ/S0360131511001515.html,,,Robotics; Blended learning; E-learning; Interactive environments; Virtual and remote laboratories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6T9RI88,journalArticle,2015,"Huang, Jida; Gao, Liang; Li, Xinyu",An effective teaching-learning-based cuckoo search algorithm for parameter optimization problems in structure designing and machining processes,Applied Soft Computing,,1568-4946,10.1016/j.asoc.2015.07.031,https://www.sciencedirect.com/science/article/pii/S1568494615004718,"The optimum selection of parameters is great important for the final quality of product in modern industrial manufacturing process. In order to achieve highly product quality, an effective optimization technique is indispensable. In this paper, a new hybrid algorithm named teaching-learning-based cuckoo search (TLCS) is proposed for parameter optimization problems in structure designing as well as machining processes. The TLCS combines the Lévy flight with teaching-learning process, then evolves with a co-evolutionary mechanism: for solutions to be abandoned in the cuckoo search will perform Lévy flight to generate new solutions, while for other better solutions, the teaching-learning process is used to improve the local searching ability of the algorithm. Then the proposed TLCS method is adopted into several well-known engineering parameter optimization problems. Experimental results show that TLCS obtains some solutions better than those previously reported in the literature, which reveals that the proposed TLCS is a very effective and robust approach for the parameter optimization problems.",11/1/2015,7/2/2022 18:17,7/2/2022 18:17,5/19/2022 15:53,349-356,,,36,,Applied Soft Computing,,,,,,,,en,,,,,ScienceDirect,,,,/Users/nicolapoppy/Zotero/storage/ILNPHNN2/Huang et al. - 2015 - An effective teaching-learning-based cuckoo search.pdf; /Users/nicolapoppy/Zotero/storage/ZTJXTDIL/S1568494615004718.html,,,Co-evolutionary; Cuckoo search; Parameter optimization; Teaching-learning process; TLCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7DGHTJSH,journalArticle,2008,"Jacob, Brian A.; Lefgren, Lars",Can Principals Identify Effective Teachers? Evidence on Subjective Performance Evaluation in Education,Journal of Labor Economics,,0734-306X,10.1086/522974,https://www.journals.uchicago.edu/doi/full/10.1086/522974,"We examine how well principals can distinguish between more and less effective teachers. To put principal evaluations in context, we compare them with the traditional determinants of teacher compensation—education and experience—as well as value‐added measures of teacher effectiveness based on student achievement gains. We present “out‐of‐sample” predictions that mitigate concerns that the teacher quality and student achievement measures are determined simultaneously. We find that principals can generally identify teachers who produce the largest and smallest standardized achievement gains but have far less ability to distinguish between teachers in the middle of this distribution.",2008-01,7/2/2022 18:17,7/2/2022 18:17,6/13/2022 21:35,101-136,,1,26,,,Can Principals Identify Effective Teachers?,,,,,,,,,,,,journals.uchicago.edu (Atypon),,Publisher: The University of Chicago Press,,/Users/nicolapoppy/Zotero/storage/FHP9T3K2/Jacob_Lefgren_2008_Can Principals Identify Effective Teachers.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPC3BLQ,journalArticle,2013,"Hughes, P. William; Ellefson, Michelle R.",Inquiry-based training improves teaching effectiveness of biology teaching assistants,PLOS ONE,,1932-6203,10.1371/journal.pone.0078540,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0078540,"Graduate teaching assistants (GTAs) are used extensively as undergraduate science lab instructors at universities, yet they often have having minimal instructional training and little is known about effective training methods. This blind randomized control trial study assessed the impact of two training regimens on GTA teaching effectiveness. GTAs teaching undergraduate biology labs (n = 52) completed five hours of training in either inquiry-based learning pedagogy or general instructional “best practices”. GTA teaching effectiveness was evaluated using: (1) a nine-factor student evaluation of educational quality; (2) a six-factor questionnaire for student learning; and (3) course grades. Ratings from both GTAs and undergraduates indicated that indicated that the inquiry-based learning pedagogy training has a positive effect on GTA teaching effectiveness.",10/11/2013,7/2/2022 18:17,7/2/2022 18:17,6/24/2022 18:27,e78540,,10,8,,PLOS ONE,,,,,,,,en,,,,,PLoS Journals,,Publisher: Public Library of Science,,/Users/nicolapoppy/Zotero/storage/Y3SVXX83/Hughes_Ellefson_2013_Inquiry-based training improves teaching effectiveness of biology teaching.pdf; /Users/nicolapoppy/Zotero/storage/87UZ9JTQ/article.html,,,Learning; Surveys; Undergraduates; Lectures; Pedagogy; Human learning; Instructors; Workshops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96PYX27V,journalArticle,1988,"Hoyt, David B.; Shackford, Steven R.; Fridland, Peggy Hollingsworth; Mackersie, Robert C.; Hansbrough, John F.; Wachtel, Thomas L.; Fortune, John B.",Video Recording Trauma Resuscitations: An Effective Teaching Technique,Journal of Trauma and Acute Care Surgery,,2163-0755,,https://journals.lww.com/jtrauma/Abstract/1988/04000/Video_Recording_Trauma_Resuscitations__An.3.aspx,"Since the initial hour after injury is the most crucial time for trauma patients, resuscitation technique is of vital importance. Standardized courses for first-hour management (ATLS) have been widely accepted. A teaching format based upon video recording of every resuscitation has been developed. Tapes are reviewed by the staff and by the individuals involved in a particular resuscitation. In a weekly resuscitation review conference, actual footage is presented to the trauma team members, specific aspects of a resuscitation are critiqued, and supplemental didactic information is presented.         Legal problems have been avoided by making the review and conference a part of the quality assurance process. Patient anonymity is preserved by positioning the video camera at the foot of the resuscitation bed. Tapes are erased after each conference.         Video recording allows analysis of: 1) priorities during the resuscitation; 2) cognitive integration of the workup by the team leader; 3) physical integration of the workup by the team leader; 4) team member adherence to assigned responsibilities, resuscitation time, errors or breaks in technique; and 5) behavior change over time.         In 3½ years, more than 2,500 resuscitations have been recorded. Over a 3-month period, average resuscitation time to definitive care decreased for age- and injury severity-matched patient groups cared for by one team. Resuscitations have become more efficient and adherence to assigned responsibilities better. Weekly review of resuscitation contributes to improved technique and trauma care.",1988-04,7/2/2022 18:17,7/2/2022 18:17,6/14/2022 1:28,435–440,,4,28,,,Video Recording Trauma Resuscitations,,,,,,,en-US,,,,,journals.lww.com,,,,/Users/nicolapoppy/Zotero/storage/W2R27LIH/Hoyt et al_1988_Video Recording Trauma Resuscitations.pdf; /Users/nicolapoppy/Zotero/storage/AWERHVFQ/Video_Recording_Trauma_Resuscitations__An.3.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVS8M4UW,journalArticle,1997,"Howes, Carollee",Children's Experiences in Center-Based Child Care as a Function of Teacher Background and Adult: Child Ratio,Merrill-Palmer Quarterly,,0272-930X,,http://www.jstor.org/stable/23093331,"The relation between teacher background and adult: child ratio in center-based child care was examined in two representative samples: the Cost, Quality, and Outcome Study (N = 655 classrooms and 760 children) and the Florida Quality Improvement Study (N = 410 classrooms and 820 children). Classrooms were classified according to whether the observed adult: child ratio met professional standards and by the background (formal education and early childhood education training) of the lead teacher. We compared children and teacher behaviors based on these classifications. In both samples, teacher background made an independent contribution, distinguishing between teaching behaviors, children's activities, and outcomes. Teachers with the most advanced education were most effective. Teachers with associate of arts degrees and CDA certificates were more effective than teachers with some college or just high school plus workshops. In the Cost, Quality, and Outcome study, but not the Florida Quality Improvement Study, classrooms that complied with professional standards also had teachers with more effective teaching and more positive child outcomes. There were no interactive effects of ratio and teacher background.",1997,7/2/2022 18:17,7/2/2022 18:17,6/14/2022 1:48,404-425,,3,43,,,Children's Experiences in Center-Based Child Care as a Function of Teacher Background and Adult,,,,,,,,,,,,JSTOR,,Publisher: Wayne State University Press,,/Users/nicolapoppy/Zotero/storage/BCT7PFHC/Howes_1997_Children's Experiences in Center-Based Child Care as a Function of Teacher.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YQTHLMEN,journalArticle,2012,"Horton, Dane M.; Wiederman, Steven D.; Saint, David A.",Assessment outcome is weakly correlated with lecture attendance: influence of learning style and use of alternative materials,Advances in Physiology Education,,1043-4046,10.1152/advan.00111.2011,https://journals.physiology.org/doi/full/10.1152/advan.00111.2011,"The relation between lecture attendance and learning is surprisingly weak, and the role of learning styles in this is poorly understood. We hypothesized that 1) academic performance is related to lecture attendance and 2) learning style influences lecture attendance and, consequently, affects performance. We also speculated that the availability of alternative resources would affect this relationship. Second-year Bachelor of Science physiology students (n = 120) self-reported their lecture attendance in a block of 21 lectures (attendance not compulsory) and use of alternative resources. Overall self-reported lecture attendance was 73 ± 2%. Female students (n = 71) attended more lectures (16.4 ± 0.6) than male students (14.3 ± 0.08, n = 49) and achieved a higher composite mark in all assessments (73.6% vs. 69.3%, P < 0.02). Marks in the final exam were not statistically different between the sexes and correlated only weakly with lecture attendance (r = 0.29, n = 49, P < 0.04 for male students; r = 0.10, n = 71, P = not significant for female students; and r =0.21, n = 120, P < 0.02 for the whole class). Of the students who passed the exam, poor attenders (<11 lectures) reported significantly more use of lecture recordings (37 ± 8%, n = 15, vs. 10 ± 1%, n = 85, P < 0.001). In a VARK learning style assessment (where V is visual, A is auditory, R is reading/writing, and K is kinesthetic), students were multimodal, although female students had a slightly higher average percentage of the R learning style (preferred read/write) compared with male students (28.9 ± 0.9%, n = 63, vs. 25.3 ± 1.3%, n = 32, P < 0.03). Lecture attendance was not correlated with measured learning style. We concluded that lecture attendance is only weakly correlated with academic performance and is not related to learning style. The substitution of alternative materials for lecture attendance appears to have a greater role than learning style in determining academic outcomes.",2012-06,7/2/2022 18:17,7/2/2022 18:17,5/19/2022 15:44,108-115,,2,36,,,Assessment outcome is weakly correlated with lecture attendance,,,,,,,,,,,,journals.physiology.org (Atypon),,Publisher: American Physiological Society,,/Users/nicolapoppy/Zotero/storage/BVJWC5EH/Horton et al. - 2012 - Assessment outcome is weakly correlated with lectu.pdf,,,learning styles; teaching effectiveness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ZMDJWDZ,journalArticle,2002,"Holcomb, John B.; Dumire, Russell D.; Crommett, John W.; Stamateris, Connie E.; Fagert, Matthew A.; Cleveland, Jim A.; Dorlac, Gina R.; Dorlac, Warren C.; Bonar, James P.; Hira, Kenji; Aoki, Noriaki; Mattox, Kenneth L.",Evaluation of Trauma Team Performance Using an Advanced Human Patient Simulator for Resuscitation Training,Journal of Trauma and Acute Care Surgery,,2163-0755,,https://journals.lww.com/jtrauma/Fulltext/2002/06000/Evaluation_of_Trauma_Team_Performance_Using_an.9.aspx?casa_token=-412MT_9CFYAAAAA:GJg_fgcmLA6s1e2To0hVJEg5hyYU9rdZWFUIgfDruqemhzvwQiw_RyMHPeiaFmGQB7leMg4d_ZKZl_L5IOZPOh41,"Background           Human patient simulation (HPS) has been used since 1969 for teaching purposes. Only recently has technology advanced to allow application to the complex field of trauma resuscitation. The purpose of our study was to validate an advanced HPS as an evaluation tool of trauma team resuscitation skills.         Methods           The pilot study evaluated 10 three-person military resuscitation teams from community hospitals that participated in a 28-day rotation at a civilian trauma center. Each team consisted of physicians, nurses, and medics. Using the HPS, teams were evaluated on arrival and again on completion of the rotation. In addition, the 10 trauma teams were compared with 5 expert teams composed of experienced trauma surgeons and nurses. Two standardized trauma scenarios were used, representing a severely injured patient with multiple injuries and with an Injury Severity Score of 41 (probability of survival, 50%). Performance was measured using a unique human performance assessment tool that included five scored and eight timed tasks generally accepted as critical to the initial assessment and treatment of a trauma patient. Scored tasks included airway, breathing, circulation, and disability assessments as well as overall organizational skills and a total score. The nonparametric Wilcoxon test was used to compare the military teams’ scores for scenarios 1 and 2, and the comparison of the military teams’ final scores with the expert teams. A value of p < 0.05 was considered significant.         Results           The 10 military teams demonstrated significant improvement in four of the five scored (p ≤ 0.05) and six of the eight timed (p ≤ 0.05) tasks during the final scenario. This improvement reflects the teams’ cumulative didactic and clinical experience during the 28-day trauma refresher course as well as some degree of simulator familiarization. Improved final scores reflected efficient and coordinated team efforts. The military teams’ initial scores were worse than the expert group in all categories, but their final scores were only lower than the expert groups in 2 of 13 measurements (p ≤ 0.05).         Conclusion           No studies have validated the use of the HPS as an effective teaching or evaluation tool in the complex field of trauma resuscitation. These pilot data demonstrate the ability to evaluate trauma team performance in a reproducible fashion. In addition, we were able to document a significant improvement in team performance after a 28-day trauma refresher course, with scores approaching those of the expert teams.",2002-06,7/2/2022 18:17,7/2/2022 18:17,6/13/2022 23:13,1078–1086,,6,52,,,,,,,,,,en-US,,,,,journals.lww.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
